;;
;;"Karaokefreak 
Songliste 
sortiert nach Interpreten"
;;
123;;
;3 Doors Down;
;;Kryptonite
;4 Non Blondes;
;;What's up
A;;
;A Great Big World & Christina Aguilera;
;;Say Something
;A-Ha;
;;Take On Me
;ABBA;
;;Dancing Queen
;;Mamma Mia
;;Money Money Money
;;Super Trouper
;;Take a Chance on me
;;Thank You For The Music
;;Waterloo
;ABC;
;;The Look Of Love
;AC / DC;
;;Highway to Hell
;;T.N.T.
;;Thunderstruck
;;You shook me all Night long
;Adam and the Ants;
;;Stand And Deliver
;Adele;
;;Make You Feel My Love
;;Rolling In The Deep
;;Set Fire To The Rain
;;Skyfall
;;Someone Like You
;Aerosmith;
;;I Don't Want To Miss A Thing
;AFI;
;;Miss Murder
;Aladdin   (Disney);
;;A Whole New World
;Alanis Morissette;
;;Ironic
;;Hand in my pocket
;;You oughta' know
;Alannah Myles;
;;Black Velvet
;Alexander Burke;
;;Hallelujah
;Alice in Chains;
;;Down in a Hole (Unplugged)
;;Rooster
;;Would
;Alicia Keys;
;;Girl On Fire
;All Saints;
;;Never Ever
;Amy Winehouse;
;;Back To Black
;;Rehab
;Andy Williams;
;;Can't Take My Eyes Off You
;Animals;
;;House Of The Rising Sun
;Annie Lennox;
;;Don't let it bring you down
;Annie Soundtrack;
;;Tomorrow
;Aqua;
;;Barbie Girl    (Duett)
;Ariana Grande feat Iggy Azalea ;
;;Problem
;Avicii ;
;;Hey Brother
;Avicii feat. Aloe Blacc ;
;;Wake Me Up
;Ärzte, die;
;;Junge
;;Mach die Augen zu
;;Männer sind Schweine
;;Schrei nach Liebe
;;Westerland
;;Zu spät
B;;
;B52s ;
;;Love Shack
;;
;Backstreet Boys ;
;;Everybody (Backstreet's Back)
;;I Want It That Way
;Bad Manners;
;;Lip Up Fatty
;Bad Religion;
;;Generator
;;No Control
;Band Aid ;
;;Do They Know It's Christmas
;Bangles ;
;;Eternal Flame
;;Manic Monday
;Barry Manilow ;
;;Copacabana (At The Copa)
;Bastille ;
;;Pompeii
;Beach Boys, the;
;;Barbara Ann
;;Be True to your School
;;California Girls
;;Darlin'
;;Good Vibrations
;;Help Me Rhonda
;;I get around
;;Surfer Girl
;;Surfin' USA
;Beatles, the;
;;A Day in a Life
;;A Hard Day's Night
;;All my loving
;;All you need is Love
;;Back in the U.S.S.R.
;;Eight Days a Week
;;Fool on the Hill
;;Get Back
;;Getting Better
;;Got to get you into my Life
;;Help!
;;Hey Jude
;;Hey Jude (kurze Version)
;;I am the Walrus
;;I saw her standing there
;;I want to hold your Hand
;;If I needed someone
;;In My Life
;;Let it be
;;Lucy in the Sky with Diamonds
;;Night Before
